"Data Set","Dataset ID","Tag Category","Tag","Tag ID"
"03 Mobile Sightings","10055","Location","pasadena","10005"
"03 Mobile Sightings","10055","Facility","all roads","360"
"03 Mobile Sightings","10055","Frequency","less than 1 min.","13"
"Roadside Equipment","10169","Data Type","roadside equipment (rse)","392"
"Roadside Equipment","10169","Location","ann arbor, mi","10013"
"Roadside Equipment","10169","Facility","all roads","360"
"Roadside Equipment","10169","Data Type","signal","128"
"Roadside Equipment","10169","Frequency","less than 1 sec.","10012"
"Roadside Equipment","10169","Data Type","basic safety message (bsm)","10011"
"Vehicles_ProbSnapShotEntry","10203","Data Type","vehicle location","10004"
"Vehicles_ProbSnapShotEntry","10203","Facility","all roads","360"
"Vehicles_ProbSnapShotEntry","10203","Frequency","by occurrence","88"
"Vehicles_ProbSnapShotEntry","10203","Location","columbus, oh","10019"
"RSE XML Files","10096","Data Type","roadside equipment (rse)","392"
"RSE XML Files","10096","Data Type","weather","107"
"RSE XML Files","10096","Location","michigan test bed","388"
"RSE XML Files","10096","Data Type","vehicle location","10004"
"RSE XML Files","10096","Facility","all roads","360"
"RSE XML Files","10096","Frequency","less than 1 min.","13"
"RSE XML Files","10096","Data Type","speed","17"
"05b City of Pasadena Link and Turn Volume Data (Text format)","10058","Frequency","less than 1 hour","29"
"05b City of Pasadena Link and Turn Volume Data (Text format)","10058","Location","pasadena","10005"
"05b City of Pasadena Link and Turn Volume Data (Text format)","10058","Data Type","volume","16"
"05b City of Pasadena Link and Turn Volume Data (Text format)","10058","Data Type","loop data","15"
"05b City of Pasadena Link and Turn Volume Data (Text format)","10058","Facility","arterial","120"
"TConnect_T-Disp","10201","Data Type","vehicle location","10004"
"TConnect_T-Disp","10201","Facility","all roads","360"
"TConnect_T-Disp","10201","Frequency","by occurrence","88"
"TConnect_T-Disp","10201","Location","columbus, oh","10019"
"Testbed Description","10045","Data Type","roadside equipment (rse)","392"
"Testbed Description","10045","Location","michigan test bed","388"
"Testbed Description","10045","Facility","all roads","360"
"Testbed Description","10045","Data Type","onboard equipment (obe)","391"
"Testbed Description","10045","Data Type","location metadata","77"
"05f PeMS 30 sec Link and Turn Volumes (Plain text format)","10062","Location","pasadena","10005"
"05f PeMS 30 sec Link and Turn Volumes (Plain text format)","10062","Data Type","volume","16"
"05f PeMS 30 sec Link and Turn Volumes (Plain text format)","10062","Data Type","loop data","15"
"05f PeMS 30 sec Link and Turn Volumes (Plain text format)","10062","Facility","freeway","11"
"05f PeMS 30 sec Link and Turn Volumes (Plain text format)","10062","Frequency","less than 1 min.","13"
"Freeway Detectors and Stations","10024","Facility","freeway","11"
"Freeway Detectors and Stations","10024","Data Type","location metadata","77"
"Freeway Detectors and Stations","10024","Location","portland","9"
"08a WorkZone (SQL format)","10081","Data Type","incidents","86"
"08a WorkZone (SQL format)","10081","Frequency","less than 1 hour","29"
"08a WorkZone (SQL format)","10081","Location","pasadena","10005"
"08a WorkZone (SQL format)","10081","Facility","all roads","360"
"Travelers","10202","Data Type","travel time","154"
"Travelers","10202","Data Type","vehicle location","10004"
"Travelers","10202","Facility","all roads","360"
"Travelers","10202","Frequency","by occurrence","88"
"Travelers","10202","Location","columbus, oh","10019"
"Incident Data","10148","Data Type","incidents","86"
"Incident Data","10148","Location","seattle","10007"
"Incident Data","10148","Facility","freeway","11"
"Incident Data","10148","Frequency","by occurrence","88"
"Weather Station Data","10145","Data Type","weather","107"
"Weather Station Data","10145","Location","seattle","10007"
"Weather Station Data","10145","Facility","all roads","360"
"Weather Station Data","10145","Frequency","hourly","61"
"live data","10171","Data Type","vehicle location","10004"
"live data","10171","Facility","all roads","360"
"live data","10171","Frequency","less than 1 min.","13"
"live data","10171","Data Type","onboard equipment (obe)","391"
"live data","10171","Data Type","speed","17"
"live data","10171","Data Type","live data","10009"
"live data","10171","Location","minnesota","10010"
"01 Network Definition","10053","Location","pasadena","10005"
